id         ,title                                                                                                                                                                                   ,categories                                               ,abstract                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,doi                                                                     ,created    ,updated    ,authors
1708.02190 ,intrinsically motivated goal exploration processes with automatic   curriculum learning                                                                                                 ,cs.ai cs.lg                                              ,"intrinsically motivated spontaneous exploration is a key enabler of autonomous developmental learning in human children. it enables the discovery of skill repertoires through autotelic learning, i.e. the self-generation, self-selection, self-ordering and self-experimentation of learning goals. we present an algorithmic approach called intrinsically motivated goal exploration processes (imgep) to enable similar properties of autonomous learning in machines. the imgep architecture relies on several principles: 1) self-generation of goals, generalized as parameterized fitness functions; 2) selection of goals based on intrinsic rewards; 3) exploration with incremental goal-parameterized policy search and exploitation with a batch learning algorithm; 4) systematic reuse of information acquired when targeting a goal for improving towards other goals. we present a particularly efficient form of imgep, called amb, that uses a population-based policy and an object-centered spatio-temporal modularity. we provide several implementations of this architecture and demonstrate their ability to automatically generate a learning curriculum within several experimental setups. one of these experiments includes a real humanoid robot exploring multiple spaces of goals with several hundred continuous dimensions and with distractors. while no particular target goal is provided to these autotelic agents, this curriculum allows the discovery of diverse skills that act as stepping stones for learning more complex skills, e.g. nested tool use."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                        ,2017-08-07 ,2022-05-05 ,"['sébastien forestier', 'rémy portelas', 'yoan mollard', 'pierre-yves oudeyer']"
1809.03225 ,gait learning for soft microrobots controlled by light fields                                                                                                                           ,cs.ro cs.lg cs.sy                                        ,"soft microrobots based on photoresponsive materials and controlled by light fields can generate a variety of different gaits. this inherent flexibility can be exploited to maximize their locomotion performance in a given environment and used to adapt them to changing conditions. albeit, because of the lack of accurate locomotion models, and given the intrinsic variability among microrobots, analytical control design is not possible. common data-driven approaches, on the other hand, require running prohibitive numbers of experiments and lead to very sample-specific results. here we propose a probabilistic learning approach for light-controlled soft microrobots based on bayesian optimization (bo) and gaussian processes (gps). the proposed approach results in a learning scheme that is data-efficient, enabling gait optimization with a limited experimental budget, and robust against differences among microrobot samples. these features are obtained by designing the learning scheme through the comparison of different gp priors and bo settings on a semi-synthetic data set. the developed learning scheme is validated in microrobot experiments, resulting in a 115% improvement in a microrobot's locomotion performance with an experimental budget of only 20 tests. these encouraging results lead the way toward self-adaptive microrobotic systems based on light-controlled soft microrobots and probabilistic learning control."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,10.1109/iros.2018.8594092                                               ,2018-09-10 ,           ,"['alexander von rohr', 'sebastian trimpe', 'alonso marco', 'peer fischer', 'stefano palagi']"
1904.00942 ,controlling for biasing signals in images for prognostic models:   survival predictions for lung cancer with deep learning                                                              ,cs.lg stat.ml                                            ,"deep learning has shown remarkable results for image analysis and is expected to aid individual treatment decisions in health care. to achieve this, deep learning methods need to be promoted from the level of mere associations to being able to answer causal questions. we present a scenario with real-world medical images (ct-scans of lung cancers) and simulated outcome data. through the sampling scheme, the images contain two distinct factors of variation that represent a collider and a prognostic factor. we show that when this collider can be quantified, unbiased individual prognosis predictions are attainable with deep learning. this is achieved by (1) setting a dual task for the network to predict both the outcome and the collider and (2) enforcing independence of the activation distributions of the last layer with ordinary least squares. our method provides an example of combining deep learning and structural causal models for unbiased individual prognosis predictions."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,10.1038/s41746-019-0194-x                                               ,2019-04-01 ,           ,"['wouter a. c. van amsterdam', 'marinus j. c. eijkemans']"
1906.04675 ,taxonomy of saliency metrics for channel pruning                                                                                                                                        ,cs.lg stat.ml                                            ,"pruning unimportant parameters can allow deep neural networks (dnns) to reduce their heavy computation and memory requirements. a saliency metric estimates which parameters can be safely pruned with little impact on the classification performance of the dnn. many saliency metrics have been proposed, each within the context of a wider pruning algorithm. the result is that it is difficult to separate the effectiveness of the saliency metric from the wider pruning algorithm that surrounds it. similar-looking saliency metrics can yield very different results because of apparently minor design choices. we propose a taxonomy of saliency metrics based on four mostly-orthogonal principal components. we show that a broad range of metrics from the pruning literature can be grouped according to these components. our taxonomy not only serves as a guide to prior work, but allows us to construct new saliency metrics by exploring novel combinations of our taxonomic components. we perform an in-depth experimental investigation of more than 300 saliency metrics. our results provide decisive answers to open research questions, and demonstrate the importance of reduction and scaling when pruning groups of weights. we find that some of our constructed metrics can outperform the best existing state-of-the-art metrics for convolutional neural network channel pruning."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,10.1109/access.2021.3108545                                             ,2019-06-11 ,2021-07-04 ,"['kaveena persand', 'andrew anderson', 'david gregg']"
1909.00426 ,global entity disambiguation with bert                                                                                                                                                  ,cs.cl cs.lg                                              ,"we propose a global entity disambiguation (ed) model based on bert. to capture global contextual information for ed, our model treats not only words but also entities as input tokens, and solves the task by sequentially resolving mentions to their referent entities and using resolved entities as inputs at each step. we train the model using a large entity-annotated corpus obtained from wikipedia. we achieve new state-of-the-art results on five standard ed datasets: aida-conll, msnbc, aquaint, ace2004, and wned-wiki. the source code and model checkpoint are available at https://github.com/studio-ousia/luke."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,                                                                        ,2019-09-01 ,2022-05-01 ,"['ikuya yamada', 'koki washio', 'hiroyuki shindo', 'yuji matsumoto']"
1910.01713 ,reds: rule extraction for discovering scenarios                                                                                                                                         ,cs.lg stat.ml                                            ,"scenario discovery is the process of finding areas of interest, known as scenarios, in data spaces resulting from simulations. for instance, one might search for conditions, i.e., inputs of the simulation model, where the system is unstable. subgroup discovery methods are commonly used for scenario discovery. they find scenarios in the form of hyperboxes, which are easy to comprehend. given a computational budget, results tend to get worse as the number of inputs of the simulation model and the cost of simulations increase. we propose a new procedure for scenario discovery from few simulations, dubbed reds. a key ingredient is using an intermediate machine learning model to label data for subsequent use by conventional subgroup discovery methods. we provide statistical arguments why this is an improvement. in our experiments, reds reduces the number of simulations required by 50--75\% on average, depending on the quality measure. it is also useful as a semi-supervised subgroup discovery method and for discovering better scenarios from third-party data, when a simulation model is not available."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,10.1145/3448016.3457301                                                 ,2019-10-03 ,2022-05-05 ,"['vadim arzamasov', 'klemens böhm']"
1910.02760 ,negative sampling in variational autoencoders                                                                                                                                           ,cs.lg stat.ml                                            ,"modern deep artificial neural networks have achieved great success in the domain of computer vision and beyond. however, their application to many real-world tasks is undermined by certain limitations, such as overconfident uncertainty estimates on out-of-distribution data or performance deterioration under data distribution shifts. several types of deep learning models used for density estimation through probabilistic generative modeling have been shown to fail to detect out-of-distribution samples by assigning higher likelihoods to anomalous data. we investigate this failure mode in variational autoencoder models, which are also prone to this, and improve upon the out-of-distribution generalization performance of the model by employing an alternative training scheme utilizing negative samples. we present a fully unsupervised version: when the model is trained in an adversarial manner, the generator's own outputs can be used as negative samples. we demonstrate empirically the effectiveness of the approach in reducing the overconfident likelihood estimates of out-of-distribution inputs on image data."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,                                                                        ,2019-10-07 ,2022-05-04 ,"['adrián csiszárik', 'beatrix benkő', 'dániel varga']"
1910.05954 ,quantitative stability of optimal transport maps and linearization of   the 2-wasserstein space                                                                                         ,stat.ml cs.lg cs.na math.mg math.na                      ,"this work studies an explicit embedding of the set of probability measures into a hilbert space, defined using optimal transport maps from a reference probability density. this embedding linearizes to some extent the 2-wasserstein space, and enables the direct use of generic supervised and unsupervised learning algorithms on measure data. our main result is that the embedding is (bi-)h\""older continuous, when the reference density is uniform over a convex set, and can be equivalently phrased as a dimension-independent h\""older-stability results for optimal transport maps."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                        ,2019-10-14 ,           ,"['quentin mérigot', 'alex delalande', 'frédéric chazal']"
1910.13213 ,overcoming catastrophic interference in online reinforcement learning   with dynamic self-organizing maps                                                                               ,cs.ai cs.lg                                              ,"using neural networks in the reinforcement learning (rl) framework has achieved notable successes. yet, neural networks tend to forget what they learned in the past, especially when they learn online and fully incrementally, a setting in which the weights are updated after each sample is received and the sample is then discarded. under this setting, an update can lead to overly global generalization by changing too many weights. the global generalization interferes with what was previously learned and deteriorates performance, a phenomenon known as catastrophic interference. many previous works use mechanisms such as experience replay (er) buffers to mitigate interference by performing minibatch updates, ensuring the data distribution is approximately independent-and-identically-distributed (i.i.d.). but using er would become infeasible in terms of memory as problem complexity increases. thus, it is crucial to look for more memory-efficient alternatives. interference can be averted if we replace global updates with more local ones, so only weights responsible for the observed data sample are updated. in this work, we propose the use of dynamic self-organizing map (dsom) with neural networks to induce such locality in the updates without er buffers. our method learns a dsom to produce a mask to reweigh each hidden unit's output, modulating its degree of use. it prevents interference by replacing global updates with local ones, conditioned on the agent's state. we validate our method on standard rl benchmarks including mountain car and lunar lander, where existing methods often fail to learn without er. empirically, we show that our online and fully incremental method is on par with and in some cases, better than state-of-the-art in terms of final performance and learning speed. we provide visualizations and quantitative measures to show that our method indeed mitigates interference."                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                                                        ,2019-10-29 ,           ,"['yat long lo', 'sina ghiassian']"
1911.07381 ,visual similarity attention                                                                                                                                                             ,cs.cv cs.lg                                              ,"while there has been substantial progress in learning suitable distance metrics, these techniques in general lack transparency and decision reasoning, i.e., explaining why the input set of images is similar or dissimilar. in this work, we solve this key problem by proposing the first method to generate generic visual similarity explanations with gradient-based attention. we demonstrate that our technique is agnostic to the specific similarity model type, e.g., we show applicability to siamese, triplet, and quadruplet models. furthermore, we make our proposed similarity attention a principled part of the learning process, resulting in a new paradigm for learning similarity functions. we demonstrate that our learning mechanism results in more generalizable, as well as explainable, similarity models. finally, we demonstrate the generality of our framework by means of experiments on a variety of tasks, including image retrieval, person re-identification, and low-shot semantic segmentation."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,                                                                        ,2019-11-17 ,2022-05-03 ,"['meng zheng', 'srikrishna karanam', 'terrence chen', 'richard j. radke', 'ziyan wu']"
